OBJECTID,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,SHAPE_Length,SHAPE_Area
23,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{E96BCB81-6FAC-43A8-9836-51247ADAE16D},23,SAGA,Lands - http://landsnet.nps.gov/tractsnet/documents/SAGA/Metadata/saga_metadata.xml,Saint-Gaudens National Historical Park,2011/03/09 00:00:00+00,NH,NE,1888960,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171112,Saint-Gaudens,13228.9794194975,1449351.99017465
24,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{3B2CAF68-A54E-45DC-AE62-4726A41A40DF},24,STLI,Lands - http://landsnet.nps.gov/tractsnet/documents/STLI/Metadata/stli_metadata.xml,Statue of Liberty National Monument,2016/05/06 00:00:00+00,NJ,NE,880864,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230266,Statue Of Liberty,4452.45628817951,486582.465136086
25,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{7B182847-1836-48E6-99DD-15D7DA6467E5},25,EDIS,Lands - http://landsnet.nps.gov/tractsnet/documents/EDIS/Metadata/edis_metadata.xml,Thomas Edison National Historical Park,2008/04/22 00:00:00+00,NJ,NE,874901,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048152,Thomas Edison,2565.21877758081,147844.265782115
26,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{59BF342C-08D8-46D5-B44D-AF6512D01FD9},26,MORR,Lands - http://landsnet.nps.gov/tractsnet/documents/MORR/Metadata/morr_metadata.xml,Morristown National Historical Park,2012/02/23 00:00:00+00,NJ,NE,878495,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188829,Morristown,35698.864349582,11942535.1342989
27,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{0A50159B-45E7-4ACC-8DB8-66C8A4EE9DC0},27,THRB,Lands - http://landsnet.nps.gov/tractsnet/documents/THRB/Metadata/thrb_metadata.xml,Theodore Roosevelt Birthplace National Historic Site,2011/03/28 00:00:00+00,NY,NE,2083047,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2171836,Theodore Roosevelt Birthplace,114.339082713672,745.141651569712
28,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{2869EBBF-7062-42F0-87AF-567826C844E2},28,CACL,Lands - http://landsnet.nps.gov/tractsnet/documents/CACL/Metadata/cacl_metadata.xml,Castle Clinton National Monument,2007/02/16 00:00:00+00,NY,NE,945983,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047919,Castle Clinton,351.834346532362,8988.78823094285
29,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{574D34E3-3C86-4DEB-862B-DC285D040FC4},29,FEHA,Lands - http://landsnet.nps.gov/tractsnet/documents/FEHA/Metadata/feha_metadata.xml,Federal Hall National Memorial,2017/03/30 00:00:00+00,NY,NE,2057537,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210702,Federal Hall,256.848961343479,3743.23531765569
30,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{C38F4C3D-A79C-4716-BDBB-656C20A9D071},30,GEGR,Lands - http://landsnet.nps.gov/tractsnet/documents/GEGR/Metadata/gegr_metadata.xml,General Grant National Memorial,2013/07/22 00:00:00+00,NY,NE,2733424,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221818,General Grant,299.132817912841,5124.71751194554
31,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{94026FC7-37A3-4160-AFF9-531EC4225AD6},31,HAGR,Lands - http://landsnet.nps.gov/tractsnet/documents/HAGR/Metadata/hagr_metadata.xml,Hamilton Grange National Memorial,2016/03/28 00:00:00+00,NY,NE,2083660,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047980,Hamilton Grange,763.259575017608,12400.3875630929
32,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{51271AC7-59D7-4564-8AA5-1BF7426DE455},32,SAHI,Lands - http://landsnet.nps.gov/tractsnet/documents/SAHI/Metadata/sahi_metadata.xml,Sagamore Hill National Historic Site,2011/07/29 00:00:00+00,NY,NE,970557,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175728,Sagamore Hill,6137.98933299429,586867.933638628
33,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{C58249CD-854C-44AB-9EBB-B2FFF57739F1},33,BOAF,Lands - http://landsnet.nps.gov/tractsnet/documents/BOAF/Metadata/boaf_metadata.xml,Boston African American National Historic Site,2009/03/12 00:00:00+00,MA,NE,1888904,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048143,Boston African American,852.333596740252,4361.29636998808
34,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{98D84D9B-14D3-47B1-AADD-D56CCE0F599C},34,BOHA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOHA/Metadata/boha_metadata.xml,Boston Harbor Islands National Recreation Area,2022/11/23 09:50:36+00,MA,NE,606990,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047911,Boston Harbor Islands,116291.54672675,16461881.358906
35,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{C94F2652-2F1C-41D3-B359-BCDE0580D635},35,AFBG,Lands - http://landsnet.nps.gov/tractsnet/documents/AFBG/Metadata/afbg_metadata.xml,African Burial Ground National Monument,2008/08/19 00:00:00+00,NY,NE,2060434,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048074,African Burial Ground,202.497940106985,2425.17766758788
36,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{40DBD0AC-8FA3-4321-BC06-E31EA50423C3},36,GOIS,Lands - http://landsnet.nps.gov/tractsnet/documents/GOIS/Metadata/gois_metadata.xml,Governors Island National Monument,2012/08/15 00:00:00+00,NY,NE,2092022,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2188823,Governors Island,2618.47663757796,160551.906346351
37,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{AECB24F6-C1D6-4393-A7A5-7A02488373EA},37,LOWE,Unofficial Boundary of Lowell National Historical Park.,Lowell National Historical Park,2013/12/18 00:00:00+00,MA,NE,1888940,National Historical Park,RISD,Preliminary data. Contact the Land Resources Program for additional information.,Lowell,28370.9681061424,896082.265557991
38,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{10E7B082-9E13-4E23-992F-877884C602DE},38,ROWI,Lands - http://landsnet.nps.gov/tractsnet/documents/ROWI/Metadata/rowi_metadata.xml,Roger Williams National Memorial,2011/09/30 00:00:00+00,RI,NE,1904107,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215978,Roger Williams,986.148595396037,33122.4771050033
39,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{E96CAFF9-874D-479F-9E9C-8B5EC0E744B2},40,NEBE,Lands - http://landsnet.nps.gov/tractsnet/documents/NEBE/Metadata/nebe_metadata.xml,New Bedford Whaling National Historical Park,2011/07/15 00:00:00+00,MA,NE,2733436,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175722,New Bedford Whaling,2356.79662419693,225913.562278997
40,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{7EC8FBAA-CB8C-48B3-9728-98432CEF9E0C},42,WEFA,Lands - http://landsnet.nps.gov/tractsnet/documents/WEFA/Metadata/wefa_metadata.xml,Weir Farm National Historical Park,2015/08/27 00:00:00+00,CT,NE,1888972,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224530,Weir Farm,5712.69645241466,492352.385694045
41,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{36E20E14-1215-40FA-BB38-95CC2375A715},43,MABI,Lands - http://landsnet.nps.gov/tractsnet/documents/MABI/Metadata/mabi_metadata.xml,Marsh-Billings-Rockefeller National Historical Park,2011/09/21 00:00:00+00,VT,NE,1888942,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196723,Marsh - Billings - Rockefeller,16454.0429385168,4988704.0320693
42,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{EC1D8C3E-96F5-4384-9923-5B90CEC7EB9E},44,WORI,Lands - http://landsnet.nps.gov/tractsnet/documents/WORI/Metadata/wori_metadata.xml,Women's Rights National Historical Park,2011/08/19 00:00:00+00,NY,NE,1888975,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2175720,Women's Rights,2486.26715960158,56856.838274115
43,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{44260A33-1F02-4A8A-B3D0-A5EA1F663409},46,FRLA,Lands - http://landsnet.nps.gov/tractsnet/documents/FRLA/Metadata/frla_metadata.xml,Frederick Law Olmsted National Historic Site,2016/03/01 00:00:00+00,MA,NE,1971618,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229063,Frederick Law Olmsted,1623.19685236484,51737.2486581323
44,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{373BCF39-8EE9-49CD-B502-9BE4CC01FA5D},47,KNRI,Lands - http://landsnet.nps.gov/tractsnet/documents/KNRI/Metadata/knri_metadata.xml,Knife River Indian Villages National Historic Site,2012/04/03 00:00:00+00,ND,MW,1888938,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2185777,Knife River Indian Villages,27551.891876408,15618816.9359937
45,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{46C364CA-A655-41D9-A731-92E462004352},49,BADL,Lands - http://landsnet.nps.gov/tractsnet/documents/BADL/Metadata/badl_metadata.xml,Badlands National Park,2024/03/18 00:00:00+00,SD,MW,1265096,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224522,Badlands,553343.354558806,1879789861.8737
46,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{5A103C46-5C1E-4F84-A3A7-D67A723A08BE},50,BICA,Lands - http://landsnet.nps.gov/tractsnet/documents/BICA/Metadata/bica_metadata.xml,Bighorn Canyon National Recreation Area,2023/03/17 13:05:54+00,MT,IM,767934,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182227,Bighorn Canyon,432452.96460369,974077350.798905
47,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{51BB2569-87DF-4BFC-8092-0BA04960E690},51,CANY,Lands - http://landsnet.nps.gov/tractsnet/documents/CANY/Metadata/cany_metadata.xml,Canyonlands National Park,2010/04/26 00:00:00+00,UT,IM,1448008,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165304,Canyonlands,353937.357319383,2196490657.21556
48,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{8CD32D50-20FB-46B0-91B9-B916387B1B14},52,ARCH,Lands - http://landsnet.nps.gov/tractsnet/documents/ARCH/Metadata/arch_metadata.xml,Arches National Park,2023/03/13 13:42:21+00,UT,IM,1455716,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239940,Arches,167803.697781215,509081047.001577
49,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{3E289EBB-D238-4FD7-997E-15C51678747B},53,NABR,Lands - http://landsnet.nps.gov/tractsnet/documents/NABR/Metadata/nabr_metadata.xml,Natural Bridges National Monument,2010/07/12 00:00:00+00,UT,IM,1454484,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166445,Natural Bridges,51685.5375099086,49150258.4400416
50,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{9B3AC12A-E631-455F-9DAE-EA14E27EA756},54,BLCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BLCA/Metadata/blca_metadata.xml,Black Canyon of the Gunnison National Park,2023/03/13 13:45:01+00,CO,IM,203271,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047909,Black Canyon of the Gunnison,113089.80898383,207094308.261362
51,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{8C0B4DD1-8A25-4402-AD94-70CA2E265BFC},55,COLM,Lands - http://landsnet.nps.gov/tractsnet/documents/COLM/Metadata/colm_metadata.xml,Colorado National Monument,2016/04/01 00:00:00+00,CO,IM,202252,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2203268,Colorado,82194.0943789699,137403444.949046
52,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{368E9255-7971-4B86-9941-84B11E3B20C5},56,CURE,Lands - http://landsnet.nps.gov/tractsnet/documents/CURE/Metadata/cure_metadata.xml,Curecanti National Recreation Area,2017/05/25 00:00:00+00,CO,IM,196412,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2210701,Curecanti,329290.012818828,273475556.258549
53,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{DC4908CF-C769-405A-8C47-2189A93B52AB},57,LIBI,Lands - http://landsnet.nps.gov/tractsnet/documents/LIBI/Metadata/libi_metadata.xml,Little Bighorn Battlefield National Monument,2005/02/23 00:00:00+00,MT,IM,806297,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048009,Little Bighorn Battlefield,19524.580414683,6437512.95065337
54,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{C1C6096E-8173-4200-A2C0-8E5A2FCD7159},58,DETO,Lands - http://landsnet.nps.gov/tractsnet/documents/DETO/Metadata/deto_metadata.xml,Devils Tower National Monument,2014/12/08 00:00:00+00,WY,IM,2733421,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2220218,Devils Tower,15024.9283481147,10774321.4223909
55,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{81C79BEC-6889-46B1-914D-77D9B6CCF353},59,DINO,Lands - http://landsnet.nps.gov/tractsnet/documents/DINO/Metadata/dino_metadata.xml,Dinosaur National Monument,2024/03/13 00:00:00+00,CO,IM,169567,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2223241,Dinosaur,502514.048298694,1474405638.46002
56,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{15D48970-209C-4F5C-8EA5-B65BB3586C5F},60,FOLA,Lands - http://landsnet.nps.gov/tractsnet/documents/FOLA/Metadata/fola_metadata.xml,Fort Laramie National Historic Site,2018/04/09 00:00:00+00,WY,IM,1597073,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2196718,Fort Laramie,15922.1645680694,6622287.37057518
57,2024/04/22 14:02:34+00,NPS_WASO_LANDS,2024/04/22 14:02:34+00,NPS_WASO_LANDS,{57DCFF12-0FAC-40B8-9119-BF1371D62EE3},61,GLAC,Lands - http://landsnet.nps.gov/tractsnet/documents/GLAC/Metadata/glac_metadata.xml,Glacier National Park,2023/12/04 00:00:00+00,MT,IM,1803454,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2230264,Glacier,506692.841235836,9351621674.66343
